Novo Ford K 1.0;10;5;80.00;0;Localiza;Campina Grande;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Campina Grande;
Prisma LT 1.0;10;5;90.00;0;Localiza;Campina Grande;
Sandero 1.0;10;5;90.00;0;Localiza;Campina Grande;
Jeep Renegade Sport 1.8;10;5;200.00;1;Localiza;Campina Grande;
Toyota Corolla GLI 1.8;10;5;200.00;1;Localiza;Campina Grande;
GM Cruze Sedan 1.4;10;5;200.00;1;Localiza;Campina Grande;
Jaguar XF R-Sport;10;5;400.00;1;Localiza;Campina Grande;
GM Spin 1.8;10;7;180.00;1;Localiza;Campina Grande;
Fiat Doblò;10;7;180.00;1;Localiza;Campina Grande;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Campina Grande;
Saveiro 1.8;10;2;160.00;0;Localiza;Campina Grande;
Montana 1.4;10;2;130.00;0;Localiza;Campina Grande;
Novo Ford K 1.0;10;5;80.00;0;Localiza;João Pessoa;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;João Pessoa;
Prisma LT 1.0;10;5;90.00;0;Localiza;João Pessoa;
Sandero 1.0;10;5;90.00;0;Localiza;João Pessoa;
Jeep Renegade Sport 1.8;10;5;200.00;1;Localiza;João Pessoa;
Toyota Corolla GLI 1.8;10;5;200.00;1;Localiza;João Pessoa;
GM Cruze Sedan 1.4;10;5;200.00;1;Localiza;João Pessoa;
Jaguar XF R-Sport;10;5;400.00;1;Localiza;João Pessoa;
GM Spin 1.8;10;7;180.00;1;Localiza;João Pessoa;
Fiat Doblò;10;7;180.00;1;Localiza;João Pessoa;
Fiat Strada 1.4;10;2;150.00;0;Localiza;João Pessoa;
Saveiro 1.8;10;2;160.00;0;Localiza;João Pessoa;
Montana 1.4;10;2;130.00;0;Localiza;João Pessoa;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Patos;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Patos;
Prisma LT 1.0;10;5;90.00;0;Localiza;Patos;
Sandero 1.0;10;5;90.00;0;Localiza;Patos;
Jeep Renegade Sport 1.8;10;5;200.00;1;Localiza;Patos;
Toyota Corolla GLI 1.8;10;5;200.00;1;Localiza;Patos;
GM Cruze Sedan 1.4;10;5;200.00;1;Localiza;Patos;
Jaguar XF R-Sport;10;5;400.00;1;Localiza;Patos;
GM Spin 1.8;10;7;180.00;1;Localiza;Patos;
Fiat Doblò;10;7;180.00;1;Localiza;Patos;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Patos;
Saveiro 1.8;10;2;160.00;0;Localiza;Patos;
Montana 1.4;10;2;130.00;0;Localiza;Patos;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Souza;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Souza;
Prisma LT 1.0;10;5;90.00;0;Localiza;Souza;
Sandero 1.0;10;5;90.00;0;Localiza;Souza;
Toyota Corolla GLI 1.8;10;5;200.00;1;Localiza;Souza;
GM Cruze Sedan 1.4;10;5;200.00;1;Localiza;Souza;
Fiat Doblò;10;7;180.00;1;Localiza;Souza;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Souza;
Saveiro 1.8;10;2;160.00;0;Localiza;Souza;
Montana 1.4;10;2;130.00;0;Localiza;Souza;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Cajazeiras;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Cajazeiras;
Prisma LT 1.0;10;5;90.00;0;Localiza;Cajazeiras;
Sandero 1.0;10;5;90.00;0;Localiza;Cajazeiras;
Toyota Corolla GLI 1.8;10;5;200.00;1;Localiza;Cajazeiras;
GM Cruze Sedan 1.4;10;5;200.00;1;Localiza;Cajazeiras;
Fiat Doblò;10;7;180.00;1;Localiza;Cajazeiras;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Cajazeiras;
Saveiro 1.8;10;2;160.00;0;Localiza;Cajazeiras;
Montana 1.4;10;2;130.00;0;Localiza;Cajazeiras;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Guarabira;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Guarabira;
Prisma LT 1.0;10;5;90.00;0;Localiza;Guarabira;
Sandero 1.0;10;5;90.00;0;Localiza;Guarabira;
Toyota Corolla GLI 1.8;10;5;200.00;1;Localiza;Guarabira;
GM Cruze Sedan 1.4;10;5;200.00;1;Localiza;Guarabira;
Fiat Doblò;10;7;180.00;1;Localiza;Guarabira;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Guarabira;
Saveiro 1.8;10;2;160.00;0;Localiza;Guarabira;
Montana 1.4;10;2;130.00;0;Localiza;Guarabira;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Cabedelo;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Cabedelo;
Prisma LT 1.0;10;5;90.00;0;Localiza;Cabedelo;
Sandero 1.0;10;5;90.00;0;Localiza;Cabedelo;
Toyota Corolla GLI 1.8;10;5;200.00;1;Localiza;Cabedelo;
GM Cruze Sedan 1.4;10;5;200.00;1;Localiza;Cabedelo;
Fiat Doblò;10;7;180.00;1;Localiza;Cabedelo;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Cabedelo;
Saveiro 1.8;10;2;160.00;0;Localiza;Cabedelo;
Montana 1.4;10;2;130.00;0;Localiza;Cabedelo;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Santa Rita;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Santa Rita;
Prisma LT 1.0;10;5;90.00;0;Localiza;Santa Rita;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Santa Rita;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Monteiro;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Monteiro;
Prisma LT 1.0;10;5;90.00;0;Localiza;Monteiro;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Monteiro;
Novo Ford K 1.0;10;5;80.00;0;Localiza;Sumé;
Novo Fiat Uno 1.0;10;5;80.00;0;Localiza;Sumé;
Prisma LT 1.0;10;5;90.00;0;Localiza;Sumé;
Fiat Strada 1.4;10;2;150.00;0;Localiza;Sumé;
Gol G6 1.0;10;5;70.00;0;Movida;Campina Grande;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;Campina Grande;
Prisma LT 1.0;10;5;85.00;0;Movida;Campina Grande;
Sandero 1.0;10;5;85.00;0;Movida;Campina Grande;
Honda Civic 2.0;10;5;210.00;1;Movida;Campina Grande;
Toyota Corolla GLI 1.8;10;5;210.00;1;Movida;Campina Grande;
GM Cruze Sedan 1.4;10;5;210.00;1;Movida;Campina Grande;
Mercedes C180;10;5;350.00;1;Movida;Campina Grande;
GM Spin 1.8;10;7;160.00;1;Movida;Campina Grande;
Fiat Doblò;10;7;160.00;1;Movida;Campina Grande;
Fiat Strada 1.4;10;2;150.00;0;Movida;Campina Grande;
Saveiro 1.8;10;2;160.00;0;Movida;Campina Grande;
Montana 1.4;10;2;130.00;0;Movida;Campina Grande;
Gol G6 1.0;10;5;70.00;0;Movida;João Pessoa;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;João Pessoa;
Prisma LT 1.0;10;5;85.00;0;Movida;João Pessoa;
Sandero 1.0;10;5;85.00;0;Movida;João Pessoa;
Honda Civic 2.0;10;5;210.00;1;Movida;João Pessoa;
Toyota Corolla GLI 1.8;10;5;210.00;1;Movida;João Pessoa;
GM Cruze Sedan 1.4;10;5;210.00;1;Movida;João Pessoa;
Mercedes C180;10;5;350.00;1;Movida;João Pessoa;
GM Spin 1.8;10;7;160.00;1;Movida;João Pessoa;
Fiat Doblò;10;7;160.00;1;Movida;João Pessoa;
Fiat Strada 1.4;10;2;150.00;0;Movida;João Pessoa;
Saveiro 1.8;10;2;160.00;0;Movida;João Pessoa;
Montana 1.4;10;2;130.00;0;Movida;João Pessoa;
Gol G6 1.0;10;5;70.00;0;Movida;Patos;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;Patos;
Prisma LT 1.0;10;5;85.00;0;Movida;Patos;
Sandero 1.0;10;5;85.00;0;Movida;Patos;
Honda Civic 2.0;10;5;210.00;1;Movida;Patos;
Toyota Corolla GLI 1.8;10;5;210.00;1;Movida;Patos;
GM Cruze Sedan 1.4;10;5;210.00;1;Movida;Patos;
Mercedes C180;10;5;350.00;1;Movida;Patos;
GM Spin 1.8;10;7;160.00;1;Movida;Patos;
Fiat Doblò;10;7;160.00;1;Movida;Patos;
Fiat Strada 1.4;10;2;150.00;0;Movida;Patos;
Saveiro 1.8;10;2;160.00;0;Movida;Patos;
Montana 1.4;10;2;130.00;0;Movida;Patos;
Gol G6 1.0;10;5;70.00;0;Movida;Souza;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;Souza;
Prisma LT 1.0;10;5;85.00;0;Movida;Souza;
Sandero 1.0;10;5;85.00;0;Movida;Souza;
Toyota Corolla GLI 1.8;10;5;210.00;1;Movida;Souza;
GM Cruze Sedan 1.4;10;5;210.00;1;Movida;Souza;
Fiat Doblò;10;7;160.00;1;Movida;Souza;
Fiat Strada 1.4;10;2;150.00;0;Movida;Souza;
Saveiro 1.8;10;2;160.00;0;Movida;Souza;
Montana 1.4;10;2;130.00;0;Movida;Souza;
Gol G6 1.0;10;5;70.00;0;Movida;Cajazeiras;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;Cajazeiras;
Prisma LT 1.0;10;5;85.00;0;Movida;Cajazeiras;
Sandero 1.0;10;5;85.00;0;Movida;Cajazeiras;
Toyota Corolla GLI 1.8;10;5;210.00;1;Movida;Cajazeiras;
GM Cruze Sedan 1.4;10;5;210.00;1;Movida;Cajazeiras;
Fiat Doblò;10;7;160.00;1;Movida;Cajazeiras;
Fiat Strada 1.4;10;2;150.00;0;Movida;Cajazeiras;
Saveiro 1.8;10;2;160.00;0;Movida;Cajazeiras;
Montana 1.4;10;2;130.00;0;Movida;Cajazeiras;
Gol G6 1.0;10;5;70.00;0;Movida;Cabedelo;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;Cabedelo;
Prisma LT 1.0;10;5;85.00;0;Movida;Cabedelo;
Sandero 1.0;10;5;85.00;0;Movida;Cabedelo;
Toyota Corolla GLI 1.8;10;5;210.00;1;Movida;Cabedelo;
GM Cruze Sedan 1.4;10;5;210.00;1;Movida;Cabedelo;
Fiat Doblò;10;7;160.00;1;Movida;Cabedelo;
Fiat Strada 1.4;10;2;150.00;0;Movida;Cabedelo;
Saveiro 1.8;10;2;160.00;0;Movida;Cabedelo;
Montana 1.4;10;2;130.00;0;Movida;Cabedelo;
Gol G6 1.0;10;5;70.00;0;Movida;Santa Rita;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;Santa Rita;
Prisma LT 1.0;10;5;85.00;0;Movida;Santa Rita;
Fiat Strada 1.4;10;2;150.00;0;Movida;Santa Rita;
Gol G6 1.0;10;5;70.00;0;Movida;Monteiro;
Novo Fiat Uno 1.0;10;5;70.00;0;Movida;Monteiro;
Prisma LT 1.0;10;5;85.00;0;Movida;Monteiro;
Fiat Strada 1.4;10;2;150.00;0;Movida;Monteiro;
Novo Ford K 1.0;10;5;75.00;0;Unidas;Campina Grande;
Novo Fiat Uno 1.0;10;5;75.00;0;Unidas;Campina Grande;
Prisma LT 1.0;10;5;90.00;0;Unidas;Campina Grande;
Sandero 1.0;10;5;90.00;0;Unidas;Campina Grande;
Fiat Strada 1.4;10;2;145.00;0;Unidas;Campina Grande;
Saveiro 1.8;10;2;150.00;0;Unidas;Campina Grande;
Novo Ford K 1.0;10;5;75.00;0;Unidas;João Pessoa;
Novo Fiat Uno 1.0;10;5;75.00;0;Unidas;João Pessoa;
Prisma LT 1.0;10;5;90.00;0;Unidas;João Pessoa;
Sandero 1.0;10;5;90.00;0;Unidas;João Pessoa;
Fiat Strada 1.4;10;2;145.00;0;Unidas;João Pessoa;
Saveiro 1.8;10;2;150.00;0;Unidas;João Pessoa;
Novo Ford K 1.0;10;5;75.00;0;Unidas;Patos;
Novo Fiat Uno 1.0;10;5;75.00;0;Unidas;Patos;
Prisma LT 1.0;10;5;90.00;0;Unidas;Patos;
Sandero 1.0;10;5;90.00;0;Unidas;Patos;
Fiat Strada 1.4;10;2;145.00;0;Unidas;Patos;
Saveiro 1.8;10;2;150.00;0;Unidas;Patos;
Novo Ford K 1.0;10;5;75.00;0;Unidas;Souza;
Novo Fiat Uno 1.0;10;5;75.00;0;Unidas;Souza;
Prisma LT 1.0;10;5;90.00;0;Unidas;Souza;
Sandero 1.0;10;5;90.00;0;Unidas;Souza;
Fiat Strada 1.4;10;2;145.00;0;Unidas;Souza;
Saveiro 1.8;10;2;150.00;0;Unidas;Souza;
Novo Ford K 1.0;10;5;75.00;0;Unidas;Cajazeiras;
Novo Fiat Uno 1.0;10;5;75.00;0;Unidas;Cajazeiras;
Prisma LT 1.0;10;5;90.00;0;Unidas;Cajazeiras;
Sandero 1.0;10;5;90.00;0;Unidas;Cajazeiras;
Fiat Strada 1.4;10;2;145.00;0;Unidas;Cajazeiras;
Saveiro 1.8;10;2;150.00;0;Unidas;Cajazeiras;
Novo Ford K 1.0;10;5;85.00;0;Hertz;Campina Grande;
Gol G6 1.0;10;5;85.00;0;Hertz;Campina Grande;
Prisma LT 1.0;10;5;85.00;0;Hertz;Campina Grande;
Voyage 1.6;10;5;85.00;0;Hertz;Campina Grande;
Fiat Toro;10;5;195.00;1;Hertz;Campina Grande;
Honda Civic 1.8;10;5;195.00;1;Hertz;Campina Grande;
GM Cruze Sedan 1.4;10;5;195.00;1;Hertz;Campina Grande;
Fiat Doblò;10;7;185.00;1;Hertz;Campina Grande;
Fiat Strada 1.4;10;2;150.00;0;Hertz;Campina Grande;
Montana 1.4;10;2;140.00;0;Hertz;Campina Grande;
Novo Ford K 1.0;10;5;85.00;0;Hertz;João Pessoa;
Gol G6 1.0;10;5;85.00;0;Hertz;João Pessoa;
Prisma LT 1.0;10;5;85.00;0;Hertz;João Pessoa;
Voyage 1.6;10;5;85.00;0;Hertz;João Pessoa;
Fiat Toro;10;5;195.00;1;Hertz;João Pessoa;
Honda Civic 1.8;10;5;195.00;1;Hertz;João Pessoa;
GM Cruze Sedan 1.4;10;5;195.00;1;Hertz;João Pessoa;
Fiat Doblò;10;7;185.00;1;Hertz;João Pessoa;
Fiat Strada 1.4;10;2;150.00;0;Hertz;João Pessoa;
Montana 1.4;10;2;140.00;0;Hertz;João Pessoa;
Novo Ford K 1.0;10;5;85.00;0;Hertz;Patos;
Gol G6 1.0;10;5;85.00;0;Hertz;Patos;
Prisma LT 1.0;10;5;85.00;0;Hertz;Patos;
Voyage 1.6;10;5;85.00;0;Hertz;Patos;
Fiat Toro;10;5;195.00;1;Hertz;Patos;
Honda Civic 1.8;10;5;195.00;1;Hertz;Patos;
GM Cruze Sedan 1.4;10;5;195.00;1;Hertz;Patos;
Fiat Doblò;10;7;185.00;1;Hertz;Patos;
Fiat Strada 1.4;10;2;150.00;0;Hertz;Patos;
Montana 1.4;10;2;140.00;0;Hertz;Patos;
Novo Ford K 1.0;10;5;85.00;0;Hertz;Souza;
Gol G6 1.0;10;5;85.00;0;Hertz;Souza;
Prisma LT 1.0;10;5;85.00;0;Hertz;Souza;
Voyage 1.6;10;5;85.00;0;Hertz;Souza;
Honda Civic 1.8;10;5;195.00;1;Hertz;Souza;
GM Cruze Sedan 1.4;10;5;195.00;1;Hertz;Souza;
Fiat Doblò;10;7;185.00;1;Hertz;Souza;
Fiat Strada 1.4;10;2;150.00;0;Hertz;Souza;
Montana 1.4;10;2;140.00;0;Hertz;Souza;
Novo Ford K 1.0;10;5;85.00;0;Hertz;Cajazeiras;
Gol G6 1.0;10;5;85.00;0;Hertz;Cajazeiras;
Prisma LT 1.0;10;5;85.00;0;Hertz;Cajazeiras;
Voyage 1.6;10;5;85.00;0;Hertz;Cajazeiras;
Honda Civic 1.8;10;5;195.00;1;Hertz;Cajazeiras;
GM Cruze Sedan 1.4;10;5;195.00;1;Hertz;Cajazeiras;
Fiat Doblò;10;7;185.00;1;Hertz;Cajazeiras;
Fiat Strada 1.4;10;2;150.00;0;Hertz;Cajazeiras;
Montana 1.4;10;2;140.00;0;Hertz;Cajazeiras;
Novo Ford K 1.0;10;5;85.00;0;Hertz;Guarabira;
Gol G6 1.0;10;5;85.00;0;Hertz;Guarabira;
Prisma LT 1.0;10;5;85.00;0;Hertz;Guarabira;
Voyage 1.6;10;5;85.00;0;Hertz;Guarabira;
Honda Civic 1.8;10;5;195.00;1;Hertz;Guarabira;
GM Cruze Sedan 1.4;10;5;195.00;1;Hertz;Guarabira;
Fiat Doblò;10;7;185.00;1;Hertz;Guarabira;
Fiat Strada 1.4;10;2;150.00;0;Hertz;Guarabira;
Montana 1.4;10;2;140.00;0;Hertz;Guarabira;
Novo Ford K 1.0;10;5;85.00;0;Hertz;Cabedelo;
Gol G6 1.0;10;5;85.00;0;Hertz;Cabedelo;
Prisma LT 1.0;10;5;85.00;0;Hertz;Cabedelo;
Voyage 1.6;10;5;85.00;0;Hertz;Cabedelo;
Honda Civic 1.8;10;5;195.00;1;Hertz;Cabedelo;
GM Cruze Sedan 1.4;10;5;195.00;1;Hertz;Cabedelo;
Fiat Doblò;10;7;185.00;1;Hertz;Cabedelo;
Fiat Strada 1.4;10;2;150.00;0;Hertz;Cabedelo;
Montana 1.4;10;2;140.00;0;Hertz;Cabedelo;
Novo Ford K 1.0;10;5;85.00;0;Hertz;Sumé;
Gol G6 1.0;10;5;85.00;0;Hertz;Sumé;
Prisma LT 1.0;10;5;85.00;0;Hertz;Sumé;
Fiat Strada 1.4;10;2;150.00;0;Hertz;Sumé;
